Entity,Code,Day,people_vaccinated
Bureau of Prisons,,2021-02-17,30901
Bureau of Prisons,,2021-02-18,31146
Bureau of Prisons,,2021-02-19,31519
Bureau of Prisons,,2021-02-20,32074
Bureau of Prisons,,2021-02-21,32591
Bureau of Prisons,,2021-02-22,32591
Bureau of Prisons,,2021-02-23,32628
Bureau of Prisons,,2021-02-24,32980
Bureau of Prisons,,2021-02-25,33533
Bureau of Prisons,,2021-02-26,34841
Bureau of Prisons,,2021-02-27,36064
Bureau of Prisons,,2021-02-28,36995
Bureau of Prisons,,2021-03-01,36995
Bureau of Prisons,,2021-03-02,37239
Bureau of Prisons,,2021-03-03,38000
Bureau of Prisons,,2021-03-04,40290
Bureau of Prisons,,2021-03-05,42853
Bureau of Prisons,,2021-03-06,43896
Bureau of Prisons,,2021-03-07,44090
Bureau of Prisons,,2021-03-08,44090
Bureau of Prisons,,2021-03-09,44155
Bureau of Prisons,,2021-03-10,44353
Bureau of Prisons,,2021-03-11,46675
Bureau of Prisons,,2021-03-12,48186
Bureau of Prisons,,2021-03-13,49551
Bureau of Prisons,,2021-03-14,49551
Bureau of Prisons,,2021-03-15,49551
Bureau of Prisons,,2021-03-16,49808
Bureau of Prisons,,2021-03-17,50170
Bureau of Prisons,,2021-03-18,51305
Bureau of Prisons,,2021-03-19,52733
Bureau of Prisons,,2021-03-20,53968
Bureau of Prisons,,2021-03-21,54297
Bureau of Prisons,,2021-03-22,54486
Bureau of Prisons,,2021-03-23,54537
Bureau of Prisons,,2021-03-24,55109
Bureau of Prisons,,2021-03-25,57195
Bureau of Prisons,,2021-03-26,59260
Bureau of Prisons,,2021-03-27,60463
Bureau of Prisons,,2021-03-28,60988
Bureau of Prisons,,2021-03-29,60990
Bureau of Prisons,,2021-03-30,61016
Bureau of Prisons,,2021-03-31,61091
Bureau of Prisons,,2021-04-01,63178
Bureau of Prisons,,2021-04-02,64308
Bureau of Prisons,,2021-04-03,64749
Bureau of Prisons,,2021-04-04,65102
Bureau of Prisons,,2021-04-05,65102
Bureau of Prisons,,2021-04-06,65127
Bureau of Prisons,,2021-04-07,65779
Bureau of Prisons,,2021-04-08,69297
Bureau of Prisons,,2021-04-09,71671
Bureau of Prisons,,2021-04-10,73538
Bureau of Prisons,,2021-04-11,74459
Bureau of Prisons,,2021-04-12,74487
Bureau of Prisons,,2021-04-13,74597
Bureau of Prisons,,2021-04-14,75510
Bureau of Prisons,,2021-04-15,75587
Bureau of Prisons,,2021-04-16,77232
Bureau of Prisons,,2021-04-17,77970
Bureau of Prisons,,2021-04-18,78272
Bureau of Prisons,,2021-04-19,78272
Bureau of Prisons,,2021-04-20,78321
Bureau of Prisons,,2021-04-21,78922
Bureau of Prisons,,2021-04-22,80613
Bureau of Prisons,,2021-04-23,81663
Bureau of Prisons,,2021-04-24,82720
Bureau of Prisons,,2021-04-25,83085
Bureau of Prisons,,2021-04-26,83085
Bureau of Prisons,,2021-04-27,83099
Bureau of Prisons,,2021-04-28,83367
Bureau of Prisons,,2021-04-29,84258
Bureau of Prisons,,2021-04-30,85721
Bureau of Prisons,,2021-05-01,86840
Bureau of Prisons,,2021-05-02,87100
Bureau of Prisons,,2021-05-03,87100
Bureau of Prisons,,2021-05-04,87107
Bureau of Prisons,,2021-05-05,87422
Bureau of Prisons,,2021-05-06,89447
Bureau of Prisons,,2021-05-07,90948
Bureau of Prisons,,2021-05-08,90964
Bureau of Prisons,,2021-05-09,92403
Bureau of Prisons,,2021-05-10,92403
Bureau of Prisons,,2021-05-11,92435
Bureau of Prisons,,2021-05-12,92526
Bureau of Prisons,,2021-05-13,93331
Bureau of Prisons,,2021-05-14,93345
Bureau of Prisons,,2021-05-15,95382
Bureau of Prisons,,2021-05-16,95945
Bureau of Prisons,,2021-05-17,95946
Bureau of Prisons,,2021-05-18,95950
Bureau of Prisons,,2021-05-19,96101
Bureau of Prisons,,2021-05-20,96698
Bureau of Prisons,,2021-05-21,97872
California,,2021-01-12,703540
California,,2021-01-13,744545
California,,2021-01-14,801998
California,,2021-01-15,865387
California,,2021-01-19,1195969
California,,2021-01-20,1255311
California,,2021-01-21,1335886
California,,2021-01-22,1477195
California,,2021-01-23,1661683
California,,2021-01-24,1838464
California,,2021-01-25,1954048
California,,2021-01-26,2053652
California,,2021-01-27,2156029
California,,2021-01-28,2281453
California,,2021-01-29,2415659
California,,2021-01-30,2563559
California,,2021-01-31,2717530
California,,2021-02-01,2861767
California,,2021-02-02,2940488
California,,2021-02-03,3044980
California,,2021-02-04,3085932
California,,2021-02-05,3228084
California,,2021-02-06,3389906
California,,2021-02-07,3653538
California,,2021-02-08,3811715
California,,2021-02-09,3880253
California,,2021-02-10,3994969
California,,2021-02-11,4108216
California,,2021-02-12,4222810
California,,2021-02-13,4345018
California,,2021-02-14,4493220
California,,2021-02-16,4708607
California,,2021-02-17,4766592
California,,2021-02-18,4865151
California,,2021-02-19,5159868
California,,2021-02-20,5285256
California,,2021-02-21,5426591
